"","Week","Bigmouth Buffalo","Black Bullhead","Black Crappie","Bowfin","Brown Bullhead","Channel Catfish","Common Carp","Common Carp x Goldfish","Freshwater Drum","Gizzard Shad","Goldfish","Largemouth Bass","Northern Pike","Rainbow Trout","Rudd","White Bass","White Perch","White Sucker","Yellow Perch"
"1",9,0,0,0,0,0.00146175637590874,0,0,0,0,0,0,0,0.0521571406077783,0.126841508823053,0,0,0,0.00660626785821652,0.110144927536232
"2",10,0,0.0115985576923077,0,0,0.0213834532405027,0,0.000264290126582166,0.000655737704918033,0,0.000135860335575029,0.0197051068609412,0,0.0713073609226402,0.23358857586623,0,0,0,0.0544274912063154,0.0772382207164816
"3",11,0,0.0102964743589744,0,0.0036716878822142,0.0341146784069471,0.000222829750580481,0.00251796786961791,0.0112756495330548,0,0.00221763693375587,0.0280194525095739,0.00699300699300699,0.184313245456067,0.205294829059984,0.025,0,0,0.0915491175828621,0.127633216458207
"4",12,0,0.0115785256410256,0.0909090909090909,0.0255993194589102,0.0419153355928518,0.00108086259735518,0.00466264230772686,0.0139519097478627,0.000549853372434018,0.00818669579997549,0.0410119757892222,0.0193531958237841,0.231489859689756,0.316929647938832,0.098951973951974,0,0.00444055944055944,0.138172918526797,0.189601496025022
"5",13,0,0.0173282380013149,0.11547619047619,0.059287500860937,0.0726159797542617,0.00346235929034698,0.00861402237128193,0.0273534386662961,0.00169933882700457,0.015006128272107,0.0779365081372381,0.021353238265003,0.400203849274453,0.40754790923676,0.0815558862433862,0,0.018022496202984,0.22346495425363,0.318922217501041
"6",14,0.00478468899521531,0.0301487508218277,0.215013227513228,0.116050574343014,0.119309964718776,0.00430831844373312,0.0179316000659707,0.0518665397466397,0.00227195863264931,0.0266228266753583,0.117029321425731,0.0332404931669638,0.495224970591529,0.454899430876766,0.108774801587302,0.002,0.0283502427112183,0.377653016513368,0.422606860014136
"7",15,0.0272825799141589,0.0539582746313515,0.256018518518519,0.244489015029191,0.23527917821654,0.0100177079722946,0.0300399900760008,0.0828589595440053,0.00619006527038709,0.0600996020943214,0.226137395415308,0.0864513275052491,0.592006326887015,0.494328019826519,0.256882035911291,0.01,0.0800579589773612,0.504162839109192,0.578858312553196
"8",16,0.0827591090748985,0.153255503058101,0.465343915343915,0.434579165637206,0.341215692098048,0.0192294551753204,0.0452836853477153,0.101945489286966,0.0106866467807523,0.0915353712569678,0.313294866501256,0.189749972816895,0.660011860552634,0.524643356003273,0.322460739614995,0.0199385964912281,0.175630298399111,0.605279487345849,0.747739287783258
"9",17,0.208038215932953,0.172812546456204,0.576388888888889,0.60722789934863,0.434986985426983,0.0292050635831968,0.0749961395900347,0.135315423752719,0.020334464240942,0.134506940051427,0.438788544685662,0.306230552135115,0.708457429022468,0.568875547936944,0.392020115670382,0.0443652882205514,0.325124099804504,0.693674198722526,0.869673635835051
"10",18,0.32068038646986,0.207260787513329,0.651851851851852,0.681765936798093,0.490106481065647,0.0458216965787194,0.120451461352722,0.210954601713828,0.0564145338930934,0.19581540040891,0.572383211409769,0.48006935508562,0.749778476806576,0.624419147328136,0.43473425363053,0.0720314435964755,0.462597461940571,0.787443712266979,0.913850924240261
"11",19,0.396172864593917,0.371000738589309,0.699338624338624,0.736907227352423,0.54244811182191,0.0911770518213918,0.195636581961044,0.331404364346652,0.0962660743164501,0.26073682462858,0.703341809563641,0.566108223320668,0.815148237447527,0.695537651887962,0.53198637847574,0.14199085750558,0.579026182293238,0.869214173839212,0.977580220306513
"12",20,0.569117819117819,0.475339199554166,0.707671957671958,0.760491095383125,0.583321901039734,0.141222189909831,0.297767871393261,0.46634568545644,0.137192379485867,0.305442876295569,0.801588806798521,0.626566119780213,0.838730329763601,0.790065112200727,0.645886946977372,0.293777254914318,0.674753391130853,0.907676708507682,0.998413553639847
"13",21,0.645582321898111,0.5774505238661,0.720171957671958,0.784356327901403,0.612490463439857,0.195611612503354,0.422661790494384,0.595626090821672,0.193253165682436,0.342320791860302,0.870382359483988,0.702231321477407,0.872597890828436,0.866005909848725,0.724381930372622,0.382880828716841,0.73589155924638,0.944489835382457,0.999131944444444
"14",22,0.713951648162174,0.641268189061745,0.775132275132275,0.803786950933157,0.654467098623001,0.299113882375305,0.573294887063953,0.73713749431486,0.282651461682285,0.431975133982903,0.913261000525351,0.73262554145496,0.90851724247188,0.932267203105989,0.777437978441968,0.513265030560054,0.804456723813665,0.977960753817157,1
"15",23,0.795833564254617,0.666589582411984,0.802910052910053,0.823968785786238,0.701690422755017,0.387083634762742,0.686935887630754,0.795660058060152,0.373963537866236,0.491182975437991,0.930916091246336,0.746641670235021,0.931679455377497,0.965310965617609,0.783541244511989,0.590686461930797,0.845990445010492,0.990094402705563,1
"16",24,0.848465143201985,0.765265265703052,0.817195767195767,0.840337196282357,0.75370886642442,0.510706147986786,0.796462677659858,0.834932107421514,0.478721575437868,0.570723274188809,0.937534840513288,0.757330528950195,0.954248148381785,0.985125773298969,0.873240318586063,0.630095554194395,0.884788127667434,0.995505267746706,1
"17",25,0.882299729668151,0.926343210194458,0.840674603174603,0.857294884703011,0.816066198189114,0.611394672531772,0.869451861102577,0.862766655321823,0.573514932579565,0.697974318034192,0.943490756736793,0.794078940879206,0.960414770281686,0.995487490981964,0.889361350332095,0.663194323845796,0.899975987241964,0.997170725841689,1
"18",26,0.931741515952042,0.940208509439279,0.845304232804233,0.872388982134515,0.873329073923304,0.703510181132966,0.919969789105163,0.879304431936434,0.658725773269175,0.811019242373455,0.946535317721996,0.834524734266175,0.97765998231999,0.99838783961368,0.900604736575481,0.693777403886323,0.918648452293092,0.998540464865867,1
"19",27,0.938427148953465,0.949366018596788,0.854100529100529,0.888298069397658,0.90404701966738,0.784766392525754,0.941614764334916,0.886151840574183,0.708816051739885,0.871805886671834,0.948400067980696,0.856409281989217,0.984199255005808,0.998936085227715,0.911934523809524,0.718493520157393,0.943061951129195,0.9990710720072,1
"20",28,0.992481203007519,0.956043956043956,0.899933862433862,0.905947260567171,0.924570266105619,0.855978594215501,0.957819792639631,0.896742481395197,0.7512007667552,0.924624046986026,0.951431654411118,0.875325289372716,0.984199255005808,0.999229512457762,0.976934523809524,0.794540278807916,0.952984815190073,0.999333069633024,1
"21",29,0.992481203007519,0.994505494505495,0.899933862433862,0.926399285003562,0.940058501098312,0.894183760698532,0.969926334657145,0.903594026859587,0.79008588638393,0.952013007530402,0.955377703950911,0.889898966994639,0.98657186102496,0.999556737588652,0.984375,0.849323752644021,0.96232353338245,0.999478129530887,1
"22",30,0.992481203007519,1,0.904100529100529,0.945169207416787,0.958129722412763,0.921804292115931,0.978939474624444,0.917929129999375,0.840716182511955,0.985410191891431,0.967053824127006,0.908195176957516,0.988979073910114,1,1,0.912557857409481,0.969471555572174,0.99960937824791,1
"23",31,1,1,0.924933862433862,0.957604359493791,0.966941447944878,0.937674423922687,0.984605643959048,0.927927067604438,0.863479721578038,0.99610139157586,0.969938314056531,0.932072948601642,0.989338269312413,1,1,0.946907908068042,0.980343888734829,0.999661275553153,1
"24",32,1,1,0.950396825396825,0.969773833284032,0.974938973397276,0.954648042241869,0.989934632275832,0.945672262111849,0.906182786058014,0.997958337698399,0.971319659455603,0.96178935968275,0.991158267020336,1,1,0.951218027337848,0.985998495552067,0.99988534582887,1
"25",33,1,1,0.976190476190476,0.981854218048908,0.983594230017739,0.972986754966362,0.993930352396411,0.973443062497436,0.95293300727751,0.999561916875334,0.975934500430554,0.982425738675739,0.991710875331565,1,1,0.96200821201941,0.992650130821559,0.999977754048763,1
"26",34,1,1,0.988095238095238,0.995012752720947,0.992846651970306,0.991905965965275,0.997167391893803,0.989718724649224,0.983532718541333,0.999835280335705,0.99128183420023,0.9877142002142,1,1,1,0.990377006345651,0.997583673469388,0.999988877024382,1
"27",35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
