"","Week","Bowfin","Brown Bullhead","Channel Catfish","Common Carp","Common Carp x Goldfish","Freshwater Drum","Gizzard Shad","Goldfish","Largemouth Bass","Northern Pike","Rainbow Trout","Rudd","White Bass","White Perch","White Sucker","Yellow Perch"
"1",9,0,0.00089137008732773,0,0,0,0,0,0,0,0.0156429700451441,0.0330830273211773,0,0,0,0.0046707671578528,0.0327933579680718
"2",10,0,0.0480133651176153,0,0.000536152773982599,0.00146627408360642,0,0.000359452660969308,0.0461593930334985,0,0.132188573952303,0.152239881398954,0,0,0,0.0508747478607434,0.0983835752944853
"3",11,0.0102474928873559,0.0724401243833465,0.000577411279126097,0.00554197627842836,0.0194502875896397,0,0.00346990451594339,0.0469276070268524,0.0287479787288034,0.194195864332584,0.200306762950073,0,0,0,0.111070190070403,0.102274149627083
"4",12,0.103228050228627,0.0895854661012051,0.00335923971804158,0.0116812119142775,0.0250959905051846,0.00257904092365658,0.0121149005372335,0.0795452265590604,0.0796833314288268,0.219073831457428,0.189842092282039,0.00887680607172565,0,0.0142533953452425,0.14120394462932,0.115439245233256
"5",13,0.129303871448822,0.106892635702082,0.00915042396729031,0.0156865250689814,0.0385209425836005,0.00805226170168881,0.0215116922853653,0.104699421686354,0.078291679614318,0.139399625287396,0.187294200774675,0.0144921708405971,0,0.0444969285137307,0.161907401074563,0.155087988725683
"6",14,0.162370206361836,0.125537840948221,0.0105718843385245,0.0247041386057691,0.0919027782850239,0.00965995524682475,0.0284600150422868,0.121813457934361,0.100333755432548,0.147540239837686,0.183777755119465,0.0763332919961154,0.0133630620956212,0.0536492988295956,0.137147816708824,0.131436348337072
"7",15,0.206726765418666,0.130461534452436,0.0153731475169281,0.0325759208374994,0.11954600589046,0.0176558431360446,0.0523073997400588,0.191428210808327,0.140663659656009,0.131974100764586,0.178055849378829,0.173247312258483,0.0133630620956212,0.117217796426503,0.121256841145365,0.141713777123527
"8",16,0.206219814346488,0.151902452337696,0.019388926215058,0.0456936533452572,0.130768655114945,0.0251689262229336,0.0638946400299034,0.215786130392955,0.164728220547909,0.129646310305171,0.169899419158233,0.168190868705711,0.0378641657307984,0.203411286456767,0.116579168106956,0.0889349237626661
"9",17,0.119229253292291,0.127622009351905,0.0207669251653095,0.0559819815140914,0.127136517036234,0.0308193746232363,0.0727538154889421,0.191950488483837,0.149618536555848,0.12459682206229,0.153216113598817,0.233683338758598,0.0578339233460649,0.217689090359593,0.106355174809009,0.0659673518787374
"10",18,0.103585953699696,0.117358363358844,0.0288588311476157,0.0672675165390792,0.138333176290839,0.0949634796938501,0.0933966491422427,0.197177475476453,0.130614998907035,0.139656744334264,0.150875269768239,0.251175390077138,0.0815389729410588,0.206194816996119,0.100110442085133,0.043068044912627
"11",19,0.0942118878993094,0.11712391461413,0.076721845856242,0.0750049085341875,0.130915589227683,0.10662992170418,0.120489216795159,0.152553482255646,0.106237301902106,0.12063077193754,0.132150247683786,0.170931056988869,0.137143990586366,0.195549014576098,0.090826118983166,0.00516184078762759
