"","Week","Bowfin","Brown Bullhead","Channel Catfish","Common Carp","Common Carp x Goldfish","Freshwater Drum","Gizzard Shad","Goldfish","Largemouth Bass","Northern Pike","Rainbow Trout","Rudd","White Bass","White Perch","White Sucker","Yellow Perch"
"1",9,0,0.00209205020920502,0,0,0,0,0,0,0,0.0632183908045977,0.150234741784038,0,0,0,0.00990899898887765,0.133333333333333
"2",10,0,0.126981108152656,0,0.00142621228043837,0.00327868852459016,0,0.000951022349025202,0.124087591240876,0,0.304597701149425,0.366197183098592,0,0,0,0.121739130434783,0.173913043478261
"3",11,0.036036036036036,0.120266238237319,0.00192307692307692,0.0205278592375367,0.0540540540540541,0,0.00934579439252336,0.121495327102804,0.0909090909090909,0.444444444444444,0.581395348837209,0,0,0,0.312792511700468,0.181818181818182
"4",12,0.45045045045045,0.164103741106266,0.0134615384615385,0.0351906158357771,0.0645161290322581,0.0120967741935484,0.0323508267433501,0.214953271028037,0.227272727272727,0.259259259259259,0.371727748691099,0.0185185185185185,0,0.05,0.140950455005056,0.304347826086957
"5",13,0.388888888888889,0.303277135821178,0.0324675324675325,0.0553600750645086,0.096,0.0282258064516129,0.0330697340043134,0.309417040358744,0.05,0.418604651162791,0.356060606060606,0.0185185185185185,0,0.2,0.350374732334047,0.285714285714286
"6",14,0.273684210526316,0.191541339033514,0.00974025974025974,0.0624169986719788,0.328,0.00806451612903226,0.052924791086351,0.257879656160458,0.235294117647059,0.25,0.133640552995392,0.125,0.05,0.111111111111111,0.448122441715608,0.4
"7",15,0.358974358974359,0.258418829209415,0.0425138632162662,0.0565329580107905,0.27027027027027,0.0357142857142857,0.144027303754266,0.542542542542543,0.205882352941176,0.274509803921569,0.137254901960784,0.32,0,0.37037037037037,0.292441291585127,0.388888888888889
"8",16,0.565789473684211,0.387669425452801,0.0516666666666667,0.0598240469208211,0.104918032786885,0.0403225806451613,0.0974930362116992,0.275071633237822,0.323529411764706,0.4,0.114942528735632,0.0925925925925926,0.133333333333333,0.428571428571429,0.219667318982387,0.6
"9",17,0.612745098039216,0.364556962025316,0.0562587904360056,0.0826882477128782,0.1875,0.0666666666666667,0.111842105263158,0.33868501529052,0.318181818181818,0.162790697674419,0.137254901960784,0.722222222222222,0.0833333333333333,0.4375,0.213639526791928,0.227272727272727
"10",18,0.214723926380368,0.276627587927164,0.0728021978021978,0.118416638711842,0.214953271028037,0.419753086419753,0.1328125,0.575782202356766,0.434782608695652,0.234567901234568,0.127659574468085,0.125,0.117647058823529,0.358490566037736,0.214715719063545,0.2
"11",19,0.19047619047619,0.177705749718151,0.281593406593407,0.170139740132385,0.305059523809524,0.12,0.264162953532782,0.452459016393443,0.351851851851852,0.255813953488372,0.156862745098039,0.340425531914894,0.333333333333333,0.35,0.211371237458194,0.142857142857143
"12",20,0.107142857142857,0.21164545628957,0.250462107208872,0.21608448415922,0.433333333333333,0.186046511627907,0.177593889242521,0.359550561797753,0.205882352941176,0.0697674418604651,0.235294117647059,0.351851851851852,0.3125,0.40650406504065,0.091763405196241,0
"13",21,0.111111111111111,0.0989472211535098,0.141141141141141,0.253780953963769,0.526315789473684,0.310344827586207,0.102084831056794,0.208598130841121,0.142857142857143,0.0909090909090909,0.219298245614035,0.166666666666667,0.4,0.0943396226415094,0.171895143962183,0.0114942528735632
"14",22,0.115789473684211,0.105039329794718,0.323488045007032,0.284269094587759,0.276190476190476,0.178571428571429,0.214137931034483,0.219439252336449,0.0454545454545455,0.150684931506849,0.176470588235294,0.191489361702128,0.266666666666667,0.208333333333333,0.160721959604641,0.0138888888888889
"15",23,0.134020618556701,0.146228239845261,0.384215091066782,0.246160596752962,0.193548387096774,0.213093709884467,0.161997126436782,0.0614754098360656,0.117647058823529,0.133333333333333,0.106382978723404,0.04,0.2,0.142857142857143,0.0468415417558887,0
"16",24,0.0533333333333333,0.128221525868133,0.3785140562249,0.326693227091633,0.147435897435897,0.2,0.164870689655172,0.0235294117647059,0.105263157894737,0.0769230769230769,0.0618556701030928,0.12962962962963,0.151515151515152,0.142857142857143,0.0227761065749893,0
"17",25,0.0947368421052632,0.167087445490016,0.253246753246753,0.206242158092848,0.1,0.255789473684211,0.24822842851188,0.0454545454545455,0.15,0.0555555555555556,0.0338983050847458,0.0833333333333333,0.0909090909090909,0.0731707317073171,0.00558659217877095,0
