"","Week","Bowfin","Brown Bullhead","Channel Catfish","Common Carp","Common Carp x Goldfish","Freshwater Drum","Gizzard Shad","Goldfish","Largemouth Bass","Northern Pike","Rainbow Trout","Rudd","White Bass","White Perch","White Sucker","Yellow Perch"
"1",9,0,0.000831462542612455,0,0,0,0,0,0,0,0.0410958904109589,0.103448275862069,0,0,0,0.00330353672755538,0.0869565217391304
"2",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000582977069568597,0
"3",11,0,0,0,0,0,0,0,0,0,0.137931034482759,0.0375586854460094,0,0,0,0.0399951076320939,0.0434782608695652
"4",12,0,0,0,0,0,0,0,0,0,0,0.00709219858156028,0,0,0,0.000194325689856199,0
"5",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220156555772994,0
"6",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160535117056856,0
"7",15,0,0.000477016478751084,0,0,0,0,0,0,0,0,0,0,0,0,0.00112866817155756,0.0454545454545455
"8",16,0,0.00074831628835121,0,0,0,0,0.000625260525218841,0,0,0,0.00714285714285714,0,0,0,0.0294314381270903,0.0909090909090909
"9",17,0.00900900900900901,0.00109024833434282,0,0.00789820096533567,0,0,0.00917048770320967,0,0,0,0.0142857142857143,0.0425531914893617,0,0,0.0417316692667707,0.130434782608696
"10",18,0,0.00906709651420512,0.0015015015015015,0.0110036046291026,0,0,0.00391061452513967,0,0,0,0.0151515151515152,0.0425531914893617,0,0,0.0320541760722348,0
"11",19,0,0.00826256598577003,0.00231481481481481,0.0329091706888986,0.00952380952380952,0,0.00458524385160484,0.00600600600600601,0,0,0.0187793427230047,0,0,0,0.00581751377832211,0
"12",20,0,0.0063666226421484,0,0.0193269891101736,0,0,0.00949720670391061,0,0,0,0.0378787878787879,0,0,0,0.0143906919779547,0
"13",21,0,0.00203190084323885,0,0.028569525839105,0,0,0.016642891107941,0,0,0,0,0,0,0,0.00424671385237614,0
"14",22,0,0.00506518309391348,0.00730282375851996,0.0362420830401126,0,0.00947368421052632,0.0157593123209169,0,0,0.0147058823529412,0.0422535211267606,0,0,0,0.00275566442131047,0
"15",23,0,0.0029927319367251,0.00389483933787731,0.0195871452029087,0,0.0140845070422535,0.0114613180515759,0,0,0,0,0,0,0,0.000404448938321537,0
"16",24,0,0.00808690404345202,0.012012012012012,0.00961052099140111,0,0,0.0167130919220056,0,0,0,0,0,0,0,0.000971628449280995,0
"17",25,0,0.0123129380564501,0.012012012012012,0.0140412461605968,0,0,0.0131578947368421,0,0,0,0,0,0,0,0,0
"18",26,0,0.0221362561788094,0.011090573012939,0.00876232201533406,0,0,0.0278551532033426,0,0,0,0,0,0,0,0,0
"19",27,0,0.00350030175015087,0.00866217516843118,0.00335457900033546,0,0,0.0273184759166068,0,0,0,0,0,0,0,0,0
"20",28,0,0.00290961993089653,0.0107398568019093,0.00181285734207224,0,0,0,0,0,0,0,0,0,0,0,0
"21",29,0,0.00257908523070723,0.00238663484486874,0.000418351694324362,0,0,0.00575125808770669,0,0,0,0,0,0,0,0,0
"22",30,0,0.000639508857197672,0,0.000713106140219186,0,0,0.000833680700291788,0,0,0,0,0,0,0,0,0
"23",31,0,0.00151543853002463,0.00137362637362637,0.000416117622581316,0,0,0,0,0,0,0,0,0,0,0,0
"24",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",33,0,0.000324612088554178,0,0.000938306357025569,0,0,0,0,0,0,0,0,0,0,0,0
"26",34,0,0.000287778985738952,0,0.000600510433868789,0,0,0,0,0,0,0,0,0,0,0,0
"27",35,0,0.000757719265012313,0,0.000210349179638199,0,0,0,0,0,0,0,0,0,0,0,0
